Order Date,Segment,Market,Sales,Profit
31-07-2012,Consumer,US,2309.65,762.1845
05-02-2013,Corporate,APAC,3709.395,-288.765
17-10-2013,Consumer,APAC,5175.171,919.971
28-01-2013,Home Office,EU,2892.51,-96.54
05-11-2013,Consumer,Africa,2832.96,311.52
28-06-2013,Corporate,APAC,2862.675,763.275
07-11-2011,Consumer,APAC,1822.08,564.84
14-04-2012,Consumer,APAC,5244.84,996.48
14-10-2014,Corporate,US,5083.96,1906.485
28-01-2012,Consumer,US,4297.644,-1862.3124
05-04-2011,Corporate,US,4164.05,83.281
19-04-2012,Corporate,APAC,4626.15,647.55
27-12-2011,Consumer,EMEA,2616.96,1151.4
13-11-2012,Home Office,LATAM,2221.8,622.02
06-06-2013,Consumer,APAC,3701.52,1036.08
31-07-2014,Corporate,EU,1869.588,186.948
03-11-2014,Corporate,US,2249.91,517.4793
08-09-2014,Corporate,EU,7958.58,3979.08
31-01-2014,Corporate,APAC,2565.594,28.404
05-12-2014,Consumer,Africa,3409.74,818.28
08-08-2012,Corporate,EMEA,1977.72,276.84
29-10-2011,Consumer,US,2735.952,341.994
02-05-2011,Corporate,APAC,2754,358.02
27-02-2013,Home Office,EU,5273.7,1898.4
31-07-2014,Consumer,LATAM,1713.84,445.52
05-09-2014,Consumer,LATAM,2106.496,526.496
17-12-2011,Corporate,APAC,1715.16,720.36
14-03-2011,Consumer,EU,3069.738,1364.238
11-03-2013,Home Office,US,4158.912,363.9048
25-02-2012,Consumer,APAC,1878.72,582.36
28-12-2011,Corporate,LATAM,1696.64,-148.46
17-07-2012,Corporate,EU,2402.865,763.155
15-10-2012,Consumer,US,2453.43,-350.49
03-11-2011,Corporate,APAC,2526.93,561.48
12-12-2011,Consumer,US,3610.848,135.4068
14-09-2011,Corporate,Africa,3817.26,1068.66
14-09-2011,Consumer,US,2799.96,1371.9804
05-11-2014,Corporate,US,7999.98,-3839.9904
14-01-2014,Consumer,EU,4141.02,1697.67
10-01-2011,Consumer,APAC,2875.095,511.095
22-08-2013,Consumer,APAC,3200.5962,-77.2038
11-11-2014,Home Office,APAC,4518.78,632.52
26-09-2014,Corporate,APAC,5667.87,2097.03
13-12-2012,Consumer,EU,5785.02,404.73
23-09-2011,Consumer,EU,3018.624,377.244
23-09-2011,Consumer,US,9449.95,4630.4755
08-03-2013,Corporate,EU,2092.5,720.75
28-08-2014,Consumer,APAC,2761.2,110.34
01-05-2014,Consumer,APAC,2174.13,500.01
18-12-2014,Consumer,LATAM,3473.14,868.12
16-06-2012,Consumer,US,3050.376,1143.891
18-09-2014,Consumer,EMEA,2108.64,527.04
25-07-2014,Corporate,US,2399.96,839.986
17-12-2011,Corporate,APAC,2197.5,153.75
18-12-2013,Corporate,Africa,2582.16,593.88
30-05-2012,Consumer,APAC,1526.52,732.72
19-03-2012,Corporate,US,3149.93,1480.4671
25-05-2012,Corporate,APAC,1745.34,226.86
05-08-2014,Consumer,APAC,4191.507,1164.267
24-08-2014,Consumer,US,4367.896,327.5922
11-03-2014,Consumer,APAC,3063.27,581.91
08-11-2012,Corporate,US,4643.8,2229.024
11-08-2014,Corporate,EU,4473,313.11
31-08-2013,Corporate,EU,1502.01,225.18
18-01-2014,Consumer,APAC,5049,656.37
02-12-2013,Corporate,US,2104.55,694.5015
07-12-2014,Consumer,EU,2188.05,1050.15
16-12-2014,Corporate,APAC,1920.36,652.92
20-11-2014,Home Office,LATAM,1704,119.28
09-11-2011,Home Office,EMEA,1858.68,130.08
07-06-2013,Corporate,APAC,3298.26,1055.25
22-11-2011,Consumer,LATAM,2443.48,121.94
29-03-2013,Consumer,Africa,3808.8,1523.52
26-08-2014,Corporate,APAC,3427.1496,-452.8104
20-09-2012,Consumer,EU,3441.69,38.07
16-05-2014,Consumer,APAC,2863.35,858.9
16-03-2012,Consumer,US,6354.95,3177.475
24-11-2013,Consumer,EU,1487.4,728.7
09-11-2011,Home Office,APAC,3200.04,1183.95
28-10-2011,Consumer,APAC,2301,91.95
19-11-2014,Consumer,EU,5729.346,63.546
28-10-2014,Corporate,Africa,5301.24,2597.28
17-01-2014,Consumer,US,5443.96,2504.2216
18-08-2014,Consumer,US,4416.174,-630.882
29-01-2013,Consumer,EU,3219.9,965.85
18-09-2012,Consumer,APAC,2487.8088,-269.7912
23-11-2013,Home Office,Africa,2266.44,113.28
13-06-2012,Corporate,APAC,3068.361,1124.901
28-10-2013,Consumer,APAC,3728.43,1192.86
12-12-2013,Consumer,APAC,1581.48,0
25-05-2012,Corporate,APAC,1916.73,498.33
06-05-2013,Corporate,US,1685.88,320.3172
02-12-2013,Home Office,EU,2432.16,513.36
23-12-2014,Corporate,Canada,3863.88,1159.02
28-01-2013,Corporate,APAC,2465.82,197.19
07-05-2012,Corporate,APAC,1847.52,738.96
27-11-2013,Consumer,EU,2899.89,927.78
28-11-2012,Home Office,APAC,2891.7,96.39
29-09-2012,Consumer,EU,2016.846,-0.054
03-09-2013,Home Office,EU,3155.544,34.944
26-07-2013,Consumer,Africa,3856.14,1465.2
19-11-2014,Corporate,APAC,3524.472,861.372
19-06-2012,Consumer,EU,2167.296,790.416
11-10-2012,Corporate,LATAM,2556,178.92
09-08-2011,Consumer,EU,1469.25,308.4
05-11-2011,Consumer,EU,4448.832,1517.712
07-11-2014,Home Office,US,2036.86,366.6348
26-04-2013,Home Office,LATAM,2472.66,914.76
26-12-2013,Consumer,APAC,3739.176,747.816
13-03-2013,Home Office,EU,2570.865,-2211.165
17-04-2013,Corporate,US,9099.93,2365.9818
05-04-2012,Corporate,EU,2875.77,-1783.08
26-12-2012,Consumer,EU,1741.8,261.24
18-04-2013,Consumer,APAC,1601.64,587.19
24-05-2011,Consumer,APAC,3670.8,367.08
22-05-2012,Consumer,US,2973.32,334.4985
16-05-2013,Consumer,EU,1900.95,589.2
06-12-2011,Corporate,US,1261.33,327.9458
16-02-2011,Corporate,EU,4544.1,1868.13
31-05-2013,Consumer,APAC,1455.12,116.4
01-10-2013,Consumer,APAC,1943.19,258.93
